16264	Chicago, IL--IN Urbanized Area	U	8608208	3459257	6326686332	105649916	    2442.747	      40.792	 41.827126	 -87.895427
16318	Chico, CA Urbanized Area	U	98176	42052	89120274	137474	      34.410	       0.053	 39.750248	-121.843748
16885	Cincinnati, OH--KY--IN Urbanized Area	U	1624827	711373	2040237609	24751630	     787.740	       9.557	 39.185505	 -84.462043
17317	Clarksville, TN--KY Urbanized Area	U	158655	62218	283776315	490643	     109.567	       0.189	 36.576771	 -87.345582
17668	Cleveland, OH Urbanized Area	U	1780673	832988	1999397942	16799439	     771.972	       6.486	 41.443230	 -81.608373
17722	Cleveland, TN Urbanized Area	U	66777	28182	141410470	119768	      54.599	       0.046	 35.175401	 -84.851226
18451	Coeur d'Alene, ID Urbanized Area	U	98378	42666	122348737	1670690	      47.239	       0.645	 47.706650	-116.763683
18748	College Station--Bryan, TX Urbanized Area	U	171345	68363	184986507	343541	      71.424	       0.133	 30.626675	 -96.331052
18856	Colorado Springs, CO Urbanized Area	U	559409	229712	486493260	985540	     187.836	       0.381	 38.872965	-104.770602
18937	Columbia, MO Urbanized Area	U	124748	53568	160085068	672925	      61.809	       0.260	 38.955624	 -92.327874
18964	Columbia, SC Urbanized Area	U	549777	233477	984258969	15816560	     380.025	       6.107	 34.036236	 -81.077207
19099	Columbus, GA--AL Urbanized Area	U	253602	109208	380849589	3189464	     147.047	       1.231	 32.484694	 -84.981031
19126	Columbus, IN Urbanized Area	U	54933	24302	70579075	740617	      27.251	       0.286	 39.231561	 -85.920718
19234	Columbus, OH Urbanized Area	U	1368035	604025	1322092399	19182017	     510.463	       7.406	 40.021161	 -82.968532
19504	Concord, CA Urbanized Area	U	615968	244581	527710827	1042032	     203.750	       0.402	 37.848003	-122.017105
19558	Concord, NC Urbanized Area	U	214881	90164	466730343	1292028	     180.206	       0.499	 35.489602	 -80.580668
19755	Conroe--The Woodlands, TX Urbanized Area	U	239938	92663	345296754	2550071	     133.320	       0.985	 30.123632	 -95.452341
19801	Conway, AR Urbanized Area	U	65277	27398	102818442	2507413	      39.698	       0.968	 35.067613	 -92.437240
20287	Corpus Christi, TX Urbanized Area	U	320069	130858	311528754	12230033	     120.282	       4.722	 27.745333	 -97.412599
20422	Corvallis, OR Urbanized Area	U	62433	26689	54685518	210755	      21.114	       0.081	 44.575091	-123.287357
21745	Cumberland, MD--WV--PA Urbanized Area	U	51899	23143	84511480	646081	      32.630	       0.249	 39.647607	 -78.804597
22042	Dallas--Fort Worth--Arlington, TX Urbanized Area	U	5121892	2023230	4607936452	94098524	    1779.134	      36.332	 32.812727	 -96.972001
22069	Dalton, GA Urbanized Area	U	85239	32927	209331616	197994	      80.823	       0.076	 34.792760	 -84.938839
22096	Danbury, CT--NY Urbanized Area	U	168136	65763	340995175	9935546	     131.659	       3.836	 41.458333	 -73.426042
22204	Danville, IL Urbanized Area	U	50996	22818	77200813	2020818	      29.807	       0.780	 40.118790	 -87.633063
22285	Daphne--Fairhope, AL Urbanized Area	U	57383	26465	143085068	602069	      55.245	       0.232	 30.597318	 -87.837227
22366	Davenport, IA--IL Urbanized Area	U	280051	123959	358006564	21096151	     138.227	       8.145	 41.517262	 -90.512939
22420	Davis, CA Urbanized Area	U	72794	27614	36561739	82074	      14.117	       0.032	 38.553373	-121.738186
22528	Dayton, OH Urbanized Area	U	724091	335077	910225462	5239368	     351.440	       2.023	 39.754825	 -84.168160
22690	Decatur, AL Urbanized Area	U	70436	30468	150964905	3866832	      58.288	       1.493	 34.559441	 -87.001129
22717	Decatur, IL Urbanized Area	U	93863	43304	153326154	7919292	      59.200	       3.058	 39.845729	 -88.937174
22960	DeKalb, IL Urbanized Area	U	68545	26772	66787373	690435	      25.787	       0.267	 41.954681	 -88.726242
22987	Delano, CA Urbanized Area	U	54372	11008	25684847	0	       9.917	       0.000	 35.773324	-119.265874
23311	Deltona, FL Urbanized Area	U	182169	79045	249828736	9704973	      96.459	       3.747	 28.992618	 -81.260581
